pack,modl,tyname,occurs,depth
DifferentialEquations,Base,Val{:bp4},1,0
DifferentialEquations,Base,Val{:u₂max},1,0
DifferentialEquations,SciMLBase,"SciMLBase.var""#394#399""",1,0
DifferentialEquations,DifferentialEquations,typeof(default_algorithm),29,0
DifferentialEquations,Base,Val{:a121},1,0
DifferentialEquations,Core,"Tuple{Unitful.Dimension{:Amount}, Unitful.Dimension{:Time}}",1,0
DifferentialEquations,Base,Val{:a1508},3,0
DifferentialEquations,Core,"Tuple{Int64, DataType}",23,0
DifferentialEquations,Base,Val{:k3},18,0
DifferentialEquations,JSON.Parser,JSON.Parser.MemoryParserState,2,0
DifferentialEquations,Unitful,"Unitful.Dimensions{(Unitful.Dimension{:Length}(2//1), Unitful.Dimension{:Mass}(1//1), Unitful.Dimension{:Time}(-2//1))}",1,0
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.Vern9ExtraStages{BigFloat, Float64}",135,0
DifferentialEquations,Base,Val{:r109},2,0
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.ODEIntegrator{QNDF{5, 3, true, DefaultLinSolve, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, Val{:forward}, true, Nothing, Nothing, NTuple{5, Float64}}, true, Vector{Float64}, Nothing, Float64, SciMLBase.NullParameters, Float64, Float64, Float64, Float64, Vector{Vector{Float64}}, ODESolution{Float64, 2, Vector{Vector{Float64}}, Nothing, Nothing, Vector{Float64}, Vector{Vector{Vector{Float64}}}, ODEProblem{Vector{Float64}, Tuple{Float64, Float64}, true, SciMLBase.NullParameters, ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Base.Pairs{Symbol, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, SciMLBase.StandardODEProblem}, QNDF{5, 3, true, DefaultLinSolve, NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, Val{:forward}, true, Nothing, Nothing, NTuple{5, Float64}}, OrdinaryDiffEq.InterpolationData{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Vector{Float64}}, Vector{Float64}, Vector{Vector{Vector{Float64}}}, OrdinaryDiffEq.QNDFCache{5, StaticArraysCore.SMatrix{5, 5, Float64, 25}, Matrix{Float64}, Vector{Float64}, OrdinaryDiffEq.NLSolver{NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, true, Vector{Float64}, Float64, Nothing, Float64, OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, DefaultLinSolve}}, Matrix{Float64}, Float64, Float64, StaticArraysCore.SVector{5, Float64}, Vector{Float64}, Vector{Float64}}}, DiffEqBase.DEStats, Nothing}, ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, OrdinaryDiffEq.QNDFCache{5, StaticArraysCore.SMatrix{5, 5, Float64, 25}, Matrix{Float64}, Vector{Float64}, OrdinaryDiffEq.NLSolver{NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, true, Vector{Float64}, Float64, Nothing, Float64, OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, DefaultLinSolve}}, Matrix{Float64}, Float64, Float64, StaticArraysCore.SVector{5, Float64}, Vector{Float64}, Vector{Float64}}, OrdinaryDiffEq.DEOptions{Float64, Float64, Float64, Float64, OrdinaryDiffEq.DummyController, typeof(DiffEqBase.ODE_DEFAULT_NORM), typeof(LinearAlgebra.opnorm), Nothing, CallbackSet{Tuple{}, Tuple{}}, typeof(DiffEqBase.ODE_DEFAULT_ISOUTOFDOMAIN), typeof(DiffEqBase.ODE_DEFAULT_PROG_MESSAGE), typeof(DiffEqBase.ODE_DEFAULT_UNSTABLE_CHECK), DataStructures.BinaryHeap{Float64, DataStructures.FasterForward}, DataStructures.BinaryHeap{Float64, DataStructures.FasterForward}, Nothing, Nothing, Int64, Tuple{}, Tuple{}, Tuple{}}, Vector{Float64}, Float64, Nothing, OrdinaryDiffEq.DefaultInit}",95,0
DifferentialEquations,Base,Val{:b8},4,0
DifferentialEquations,Base,Val{:a2221},2,0
DifferentialEquations,Base,Val{:r095},3,0
DifferentialEquations,Base,Val{:rp44},1,0
DifferentialEquations,Core,"NamedTuple{(:dense, :k, :interp, :calculate_error, :destats), Tuple{Bool, Vector{Vector{Matrix{Float64}}}, OrdinaryDiffEq.InterpolationData{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Matrix{Float64}}, Vector{Float64}, Vector{Vector{Matrix{Float64}}}, OrdinaryDiffEq.Rosenbrock23Cache{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rosenbrock23Tableau{Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, Matrix{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, FiniteDiff.GradientCache{Nothing, Matrix{Float64}, Matrix{Float64}, Float64, Val{:forward}(), Float64, Val{true}()}}}, Bool, DiffEqBase.DEStats}}",1,0
DifferentialEquations,Core,"NamedTuple{(:dense, :k, :interp, :calculate_error, :destats), Tuple{Bool, Vector{Vector{Vector{Float64}}}, OrdinaryDiffEq.InterpolationData{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Vector{Float64}}, Vector{Float64}, Vector{Vector{Vector{Float64}}}, OrdinaryDiffEq.KenCarp4Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, OrdinaryDiffEq.NLSolver{NLNewton{Rational{Int64}, Rational{Int64}, Rational{Int64}}, true, Vector{Float64}, Float64, Nothing, Float64, OrdinaryDiffEq.NLNewtonCache{Vector{Float64}, Float64, Float64, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, FiniteDiff.JacobianCache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Vector{Float64}, UnitRange{Int64}, Nothing, Val{:forward}(), Float64}, DefaultLinSolve}}, OrdinaryDiffEq.KenCarp4Tableau{Float64, Float64}, Nothing}}, Bool, DiffEqBase.DEStats}}",2,0
DifferentialEquations,Core,Type{Int64},4,0
DifferentialEquations,Base,Val{:a1207},3,0
DifferentialEquations,Base,Val{:c2},11,0
DifferentialEquations,Base,Val{:atmpp1},2,0
DifferentialEquations,Core,"Type{ODEProblem{Matrix{Float64}, Tuple{Float64, Float64}, true, SciMLBase.NullParameters, ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Base.Pairs{Symbol, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, SciMLBase.StandardODEProblem}}",1,0
DifferentialEquations,Base,Val{:a2513},2,0
DifferentialEquations,Unitful,"Unitful.Unit{:SpeedOfLight, 𝐋 𝐓^-1}",7,0
DifferentialEquations,Base,Val{:dd},2,0
DifferentialEquations,SciMLBase,"SciMLBase.AbstractODEProblem{uType, tType, true}",10,0
DifferentialEquations,Base,Val{:h21},2,0
DifferentialEquations,Base,Val{:C71},2,0
DifferentialEquations,Core,"Tuple{Unitful.Dimension{:Length}, Unitful.Dimension{:Time}}",1,0
DifferentialEquations,Core,Type{TRBDF2},8,0
DifferentialEquations,Base,Val{:vloopnum},1,0
DifferentialEquations,Base,Val{:a124},1,0
DifferentialEquations,Base,Val{:a175},1,0
DifferentialEquations,Unitful,"Unitful.Quantity{Int64, 𝐍, Unitful.FreeUnits{(mol,), 𝐍, nothing}}",1,0
DifferentialEquations,Base,Val{:r263},2,0
DifferentialEquations,Base,Val{:dT},12,0
DifferentialEquations,Base.Multimedia,"MIME{Symbol(""text/tab-separated-values"")}",2,0
DifferentialEquations,StaticArraysCore,"StaticArraysCore.SVector{4, Int64}",1,0
DifferentialEquations,Unitful,"Unitful.Unit{:Gray, 𝐋^2 𝐓^-2}",1,0
DifferentialEquations,Core,ErrorException,1,0
DifferentialEquations,Base,Val{:a32},10,0
DifferentialEquations,Base,Val{:a1404},1,0
DifferentialEquations,Pkg.Versions,Pkg.Versions.VersionBound,1,0
DifferentialEquations,Unitful,"Unitful.Unit{:eV, 𝐋^2 𝐌 𝐓^-2}",1,0
DifferentialEquations,TimerOutputs,TimerOutputs.TimerOutput,2,0
DifferentialEquations,Base,Val{:equalarraydims},1,0
DifferentialEquations,Base,Val{:a2008},2,0
DifferentialEquations,Base,Val{:r089},2,0
DifferentialEquations,Base,Val{:a2201},2,0
DifferentialEquations,Core,Method,1,0
DifferentialEquations,Base,Val{:a1308},3,0
DifferentialEquations,Base,Val{:a2013},2,0
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.RosenbrockAdaptiveTableau{Rational{Int64}, Rational{Int64}}",1,0
DifferentialEquations,ArrayInterface,"ArrayInterface.OptionallyStaticUnitRange{Static.StaticInt{1}, Int64}",1,0
DifferentialEquations,Unitful,"Unitful.Quantity{Int64, 𝐋^2 𝐌 𝐈^-2 𝐓^-3, Unitful.FreeUnits{(A^-1, V), 𝐋^2 𝐌 𝐈^-2 𝐓^-3, nothing}}",2,0
DifferentialEquations,Unitful,"Unitful.Quantity{Float64, 𝐋^2 𝐌 𝚯^-1 𝐓^-2, Unitful.FreeUnits{(J, K^-1), 𝐋^2 𝐌 𝚯^-1 𝐓^-2, nothing}}",1,0
DifferentialEquations,Base,Val{:ω},1,0
DifferentialEquations,Base,Val{:c13},4,0
DifferentialEquations,Unitful,"Unitful.Quantity{Int64, 𝐈^2 𝐓^4, Unitful.FreeUnits{(A^2, s^4), 𝐈^2 𝐓^4, nothing}}",1,0
DifferentialEquations,Base,Val{:r10},1,0
DifferentialEquations,Core,"Type{Rodas5{0, false, DefaultLinSolve, Val{:forward}, true}}",1,0
DifferentialEquations,Unitful,"Unitful.FreeUnits{(J, K^-1, mol^-1), 𝐋^2 𝐌 𝐍^-1 𝚯^-1 𝐓^-2, nothing}",1,0
DifferentialEquations,StaticArraysCore,"StaticArraysCore.SMatrix{4, 4, Int64, 16}",4,0
DifferentialEquations,Core,"Type{StaticArraysCore.SMatrix{5, 5, Float64}}",1,0
DifferentialEquations,StaticArraysCore,"StaticArraysCore.SMatrix{16, 1, Float32, 16}",1,0
DifferentialEquations,SentinelArrays,"SentinelArrays.SentinelVector{Dates.Time, Dates.Time, Missing, Vector{Dates.Time}}",2,0
DifferentialEquations,Base,Val{:a63},7,0
DifferentialEquations,Base,Val{:h35},2,0
DifferentialEquations,Base,Val{:a1708},2,0
DifferentialEquations,Base,Val{:c7},4,0
DifferentialEquations,Core,Type{Num},1,0
DifferentialEquations,Base,Val{:r223},2,0
DifferentialEquations,Base,Val{:a2501},2,0
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.ODEIntegrator{Rodas5{3, true, DefaultLinSolve, Val{:forward}, true}, true, Vector{Float64}, Nothing, Float64, SciMLBase.NullParameters, Float64, Float64, Float64, Float64, Vector{Vector{Float64}}, ODESolution{Float64, 2, Vector{Vector{Float64}}, Nothing, Nothing, Vector{Float64}, Vector{Vector{Vector{Float64}}}, ODEProblem{Vector{Float64}, Tuple{Float64, Float64}, true, SciMLBase.NullParameters, ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Base.Pairs{Symbol, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, SciMLBase.StandardODEProblem}, Rodas5{3, true, DefaultLinSolve, Val{:forward}, true}, OrdinaryDiffEq.InterpolationData{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Vector{Float64}}, Vector{Float64}, Vector{Vector{Vector{Float64}}}, OrdinaryDiffEq.Rosenbrock5Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rodas5Tableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}}}, DiffEqBase.DEStats, Nothing}, ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, OrdinaryDiffEq.Rosenbrock5Cache{Vector{Float64}, Vector{Float64}, Vector{Float64}, Matrix{Float64}, Matrix{Float64}, OrdinaryDiffEq.Rodas5Tableau{Float64, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Float64}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, OrdinaryDiffEq.var""#lorenz#583"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, SparseDiffTools.ForwardColorJacCache{Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 3}}, Vector{Float64}, Vector{Vector{Tuple{Float64, Float64, Float64}}}, UnitRange{Int64}, Nothing}, Vector{ForwardDiff.Dual{ForwardDiff.Tag{OrdinaryDiffEq.OrdinaryDiffEqTag, Float64}, Float64, 1}}}, OrdinaryDiffEq.DEOptions{Float64, Float64, Float64, Float64, PIController{Rational{Int64}}, typeof(DiffEqBase.ODE_DEFAULT_NORM), typeof(LinearAlgebra.opnorm), Nothing, CallbackSet{Tuple{}, Tuple{}}, typeof(DiffEqBase.ODE_DEFAULT_ISOUTOFDOMAIN), typeof(DiffEqBase.ODE_DEFAULT_PROG_MESSAGE), typeof(DiffEqBase.ODE_DEFAULT_UNSTABLE_CHECK), DataStructures.BinaryHeap{Float64, DataStructures.FasterForward}, DataStructures.BinaryHeap{Float64, DataStructures.FasterForward}, Nothing, Nothing, Int64, Tuple{}, Tuple{}, Tuple{}}, Vector{Float64}, Float64, Nothing, OrdinaryDiffEq.DefaultInit}",90,0
DifferentialEquations,Base,Val{:r222},2,0
DifferentialEquations,Base,Val{:a1108},3,0
DifferentialEquations,Core,"NamedTuple{(:dense, :k, :interp, :calculate_error, :destats), Tuple{Bool, Vector{Vector{Matrix{BigFloat}}}, OrdinaryDiffEq.InterpolationData{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Vector{Matrix{BigFloat}}, Vector{Float64}, Vector{Vector{Matrix{BigFloat}}}, OrdinaryDiffEq.Rodas4Cache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, OrdinaryDiffEq.RodasTableau{BigFloat, Float64}, SciMLBase.TimeGradientWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{BigFloat}, SciMLBase.NullParameters}, SciMLBase.UJacobianWrapper{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Float64, SciMLBase.NullParameters}, DefaultLinSolve, FiniteDiff.JacobianCache{Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, Matrix{BigFloat}, UnitRange{Int64}, Nothing, Val{:forward}(), BigFloat}, FiniteDiff.GradientCache{Nothing, Matrix{BigFloat}, Matrix{BigFloat}, Float64, Val{:forward}(), BigFloat, Val{true}()}}}, Bool, DiffEqBase.DEStats}}",1,0
DifferentialEquations,Base,Val{:r31},1,0
DifferentialEquations,Unitful,"Unitful.Unit{:Mil, 𝐋}",1,0
DifferentialEquations,Core,Tuple{Unitful.Dimension{:Length}},1,0
DifferentialEquations,OrdinaryDiffEq,"OrdinaryDiffEq.RosenbrockFixedTableau{Bool, Bool}",8,0
DifferentialEquations,StaticArraysCore,"StaticArraysCore.Size{(4, 4)}",1,0
DifferentialEquations,Base,Val{:bp8},1,0
DifferentialEquations,Base,Val{:r224},2,0
DifferentialEquations,Base,Val{:a1808},2,0
DifferentialEquations,Base,Val{:eb4},2,0
DifferentialEquations,Unitful,"Unitful.Unit{:Weber, 𝐋^2 𝐌 𝐈^-1 𝐓^-2}",9,0
DifferentialEquations,Unitful,"Unitful.Quantity{Float64, 𝐋^6 𝐌^3 𝐓^-3, Unitful.FreeUnits{(J^3, s^3), 𝐋^6 𝐌^3 𝐓^-3, nothing}}",1,0
DifferentialEquations,Base,Val{:a93},1,0
DifferentialEquations,Base,Val{:a1309},3,0
DifferentialEquations,Base,Val{:r174},2,0
DifferentialEquations,Base,Val{:bp5},1,0
DifferentialEquations,Core,Number,25,0
DifferentialEquations,Base,Val{:a98},1,0
DifferentialEquations,Core,"Type{StaticArraysCore.SMatrix{3, 3, Float64, 9}}",1,0
DifferentialEquations,Base,Val{:a31},9,0
DifferentialEquations,Unitful,"Unitful.Quantity{Int64, 𝐋^2 𝐌, Unitful.FreeUnits{(kg, m^2), 𝐋^2 𝐌, nothing}}",1,0
DifferentialEquations,Core,Char,2,0
DifferentialEquations,Unitful,"Unitful.Dimensions{(Unitful.Dimension{:Current}(1//1), Unitful.Dimension{:Time}(1//1))}",1,0
DifferentialEquations,Unitful,"Unitful.Quantity{Int64, 𝐌 𝐋^-1, Unitful.FreeUnits{(g, cm^-1), 𝐌 𝐋^-1, nothing}}",1,0
DifferentialEquations,Base,Val{:a1407},3,0
DifferentialEquations,Base,Val{:r087},3,0
DifferentialEquations,Base,Val{:h33},2,0
DifferentialEquations,Core,"NamedTuple{(:f, :u0, :p, :tspan), Tuple{ODEFunction{true, SciMLBase.AutoSpecialize, Main.var""##313"".var""#5#6"", LinearAlgebra.UniformScaling{Bool}, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, Nothing, typeof(SciMLBase.DEFAULT_OBSERVED), Nothing, Nothing}, Matrix{BigFloat}, SciMLBase.NullParameters, Tuple{Float64, Float64}}}",1,0
DifferentialEquations,Core,"Type{StaticArraysCore.SMatrix{16, 1, Float32}}",1,0
DifferentialEquations,Unitful,"Unitful.Quantity{Int64, 𝐋 𝐓^-1, Unitful.FreeUnits{(m, s^-1), 𝐋 𝐓^-1, nothing}}",2,0
DifferentialEquations,Unitful,"Unitful.FreeUnits{(), NoDims, nothing}",2,0
DifferentialEquations,Base,Val{:c18},2,0
DifferentialEquations,Base,Val{:a165},1,0
DifferentialEquations,Base,Val{:a0906},2,0
DifferentialEquations,Core,"Type{MultivariatePolynomials.RationalPoly{NT<:(MultivariatePolynomials.AbstractPolynomialLike), DT<:(MultivariatePolynomials.AbstractPolynomialLike)}}",4,0
DifferentialEquations,Base,Val{:qsteady_max},3,0
DifferentialEquations,Base,Val{:a2112},2,0
DifferentialEquations,Unitful,"Unitful.Unit{:Dram, 𝐌}",9,0
DifferentialEquations,Unitful,"Unitful.FreeUnits{(m^-2, W), 𝐌 𝐓^-3, nothing}",1,0
DifferentialEquations,Unitful,"Unitful.FreeUnits{(J, K^-4, s^-3, c^-2), 𝐌 𝚯^-4 𝐓^-3, nothing}",1,0
DifferentialEquations,Unitful,"Unitful.Unit{:Ohm, 𝐋^2 𝐌 𝐈^-2 𝐓^-3}",9,0
DifferentialEquations,OrdinaryDiffEq,OrdinaryDiffEq.OrdinaryDiffEqMutableCache,4,0
DifferentialEquations,Base,Val{:a0201},2,0
DifferentialEquations,Unitful,"Unitful.Quantity{Rational{Int64}, 𝚯, Unitful.FreeUnits{(Ra,), 𝚯, nothing}}",2,0
DifferentialEquations,Base,Val{:r248},2,0
DifferentialEquations,Unitful,"Unitful.FreeUnits{(μV,), 𝐋^2 𝐌 𝐈^-1 𝐓^-3, nothing}",1,0
DifferentialEquations,Parsers,Parsers.Token,1,0
DifferentialEquations,Base,Val{:r257},2,0
DifferentialEquations,Base,Val{:a75},3,0
DifferentialEquations,Base,Val{:r129},2,0
DifferentialEquations,Base,Val{:a1813},2,0
DifferentialEquations,Base,Val{:a106},2,0
